#SUBMITTED ID	FBID_KEY	ANNOTATION_SYMBOL	SYMBOL
FBgn0000008	FBgn0000008	CG6741	a
FBgn0000015	FBgn0000015	CG11648	Abd-B
FBgn0000017	FBgn0000017	CG4032	Abl
FBgn0000018	FBgn0000018	CG6093	abo
FBgn0000024	FBgn0000024	CG17907	Ace
FBgn0000028	FBgn0000028	CG9151	acj6
FBgn0000032	FBgn0000032	CG7899	Acph-1
FBgn0000037	FBgn0000037	CG4356	mAChR-A
FBgn0000042	FBgn0000042	CG4027	Act5C
FBgn0000043	FBgn0000043	CG12051	Act42A
FBgn0000057	FBgn0000057	CG5124	adp
FBgn0000071	FBgn0000071	CG2198	Ama
FBgn0000077	FBgn0000077	CG12127	amx
FBgn0000078	FBgn0000078	CG17876	Amy-d
FBgn0000079	FBgn0000079	CG18730	Amy-p
FBgn0000083	FBgn0000083	CG5730	AnxB9
FBgn0000084	FBgn0000084	CG9579	AnxB10
FBgn0000092	FBgn0000092	CG2650	CG2650
FBgn0000097	FBgn0000097	CG3166	aop
FBgn0000100	FBgn0000100	CG7490	RpLP0
FBgn0000108	FBgn0000108	CG7727	Appl
FBgn0000109	FBgn0000109	CG18315	Aprt
FBgn0000115	FBgn0000115	CG6025	Arl1
FBgn0000116	FBgn0000116	CG32031	Argk
FBgn0000117	FBgn0000117	CG11579	arm
FBgn0000119	FBgn0000119	CG5912	arr
FBgn0000139	FBgn0000139	CG6677	ash2
FBgn0000140	FBgn0000140	CG6875	asp
FBgn0000146	FBgn0000146	CG6137	aub
FBgn0000147	FBgn0000147	CG3068	aurA
FBgn0000150	FBgn0000150	CG2210	awd
FBgn0000152	FBgn0000152	CG9703	Axs
FBgn0000163	FBgn0000163	CG5055	baz
FBgn0000173	FBgn0000173	CG18319	ben
FBgn0000179	FBgn0000179	CG3578	bi
FBgn0000180	FBgn0000180	CG4722	bib
FBgn0000181	FBgn0000181	CG3644	bic
FBgn0000183	FBgn0000183	CG6605	BicD
FBgn0000206	FBgn0000206	CG8285	boss
FBgn0000212	FBgn0000212	CG5942	brm
FBgn0000221	FBgn0000221	CG4934	brn
FBgn0000228	FBgn0000228	CG14025	Bsg25D
FBgn0000229	FBgn0000229	CG5680	bsk
FBgn0000239	FBgn0000239	CG9242	bur
FBgn0000241	FBgn0000241	CG17632	bw
FBgn0000244	FBgn0000244	CG9379	by
FBgn0000246	FBgn0000246	CG17604	c(3)G
FBgn0000247	FBgn0000247	CG31037	ca
FBgn0000250	FBgn0000250	CG5848	cact
FBgn0000251	FBgn0000251	CG1759	cad
FBgn0000253	FBgn0000253	CG8472	Cam
FBgn0000256	FBgn0000256	CG3399	capu
FBgn0000257	FBgn0000257	CG12230	car
FBgn0000259	FBgn0000259	CG15224	CkIIbeta
FBgn0000261	FBgn0000261	CG6871	Cat
FBgn0000273	FBgn0000273	CG4379	Pka-C1
FBgn0000283	FBgn0000283	CG6384	Cp190
FBgn0000286	FBgn0000286	CG11924	Cf2
FBgn0000289	FBgn0000289	CG8367	cg
