GeneID,ANNOTATION_SYMBOL,NAME,R1 + prov,R2,R3,R4,R5
FBgn0000003,CR32864,Signal recognition particle 7SL RNA CR32864,0.000,0.000,0.000,0.000,0.000
FBgn0000008,CG6741,arc,0.078,0.237,0.121,0.676,0.999
FBgn0000014,CG10325,abdominal A,0.004,0.013,0.014,0.007,0.019
FBgn0000015,CG11648,Abdominal B,0.142,0.367,0.079,0.301,0.685
FBgn0000017,CG4032,Abl tyrosine kinase,0.025,0.045,0.059,0.077,0.123
FBgn0000018,CG6093,abnormal oocyte,2.083,3.418,3.412,5.292,5.332
FBgn0000022,CG3796,achaete,0.000,0.000,0.000,0.000,0.000
FBgn0000024,CG17907,Acetylcholine esterase,0.878,1.383,0.719,2.151,3.362
FBgn0000028,CG9151,abnormal chemosensory jump 6,0.019,0.028,0.024,0.059,0.074
FBgn0000032,CG7899,Acid phosphatase 1,7.244,10.806,11.156,13.628,14.415
FBgn0000036,CG5610,nicotinic Acetylcholine Receptor alpha1,0.030,0.020,0.002,0.004,0.006
FBgn0000037,CG4356,muscarinic Acetylcholine Receptor,0.389,0.445,0.182,0.458,0.236
FBgn0000038,CG11348,nicotinic Acetylcholine Receptor beta1,2.527,1.620,0.522,0.722,1.200
FBgn0000039,CG6844,nicotinic Acetylcholine Receptor alpha2,0.329,0.008,0.009,0.029,0.000
FBgn0000042,CG4027,Actin 5C,151.313,254.771,360.909,259.041,310.981
FBgn0000043,CG12051,Actin 42A,16.711,23.891,75.933,82.213,132.721
FBgn0000044,CG10067,Actin 57B,0.117,0.067,0.044,0.344,0.206
FBgn0000045,CG7478,Actin 79B,0.273,0.436,0.221,0.550,0.810
FBgn0000046,CG18290,Actin 87E,0.000,0.135,0.016,0.301,0.243
FBgn0000047,CG5178,Actin 88F,0.320,0.056,0.008,0.085,0.179
FBgn0000052,CG9127,adenosine 2,0.717,1.332,0.782,1.415,1.688
FBgn0000053,CG31628,adenosine 3,1.344,2.918,2.313,3.403,3.177
FBgn0000054,CG15845,Adh transcription factor 1,2.373,4.187,3.862,4.303,2.946
FBgn0000055,CG3481,Alcohol dehydrogenase,0.047,0.000,0.003,0.000,0.000
FBgn0000056,CG3484,Adh-related,0.000,0.000,0.000,0.000,0.000
FBgn0000057,CG5124,adipose,3.969,5.142,3.466,6.737,5.524
FBgn0000061,CG3935,aristaless,0.269,0.186,0.000,0.136,0.313
FBgn0000063,CG7643,altered disjunction,2.130,3.882,3.021,5.165,8.463
FBgn0000064,CG6058,Aldolase,23.125,27.962,30.793,46.326,32.577
FBgn0000071,CG2198,Amalgam,0.000,0.000,0.000,0.021,0.040
FBgn0000075,CG10501,alpha methyl dopa-resistant,0.214,0.000,0.000,0.013,0.047
FBgn0000077,CG12127,almondex,5.619,7.407,4.743,6.752,5.061
FBgn0000078,CG17876,Amylase distal,115.153,0.797,2.974,5.443,1.261
FBgn0000079,CG18730,Amylase proximal,435.859,3.955,9.661,21.092,4.608
FBgn0000083,CG5730,Annexin B9,30.306,30.036,17.913,44.599,61.509
FBgn0000084,CG9579,Annexin B10,5.052,6.383,4.289,15.169,21.727
FBgn0000092,CG2650,-,0.149,0.362,0.347,0.406,0.366
FBgn0000094,CG1361,Andropin,0.000,0.000,0.089,0.270,0.183
FBgn0000097,CG3166,anterior open,0.620,1.577,0.972,2.119,3.750
FBgn0000099,CG8376,apterous,0.061,0.120,0.024,0.203,0.079
FBgn0000100,CG7490,Ribosomal protein LP0,924.057,707.873,874.065,948.732,801.741
FBgn0000108,CG7727,beta amyloid protein precursor-like,3.657,5.411,3.899,5.991,7.034
FBgn0000109,CG18315,Adenine phosphoribosyltransferase,35.612,46.829,67.477,52.161,47.641
FBgn0000114,CG31762,arrest,0.042,0.043,0.042,0.038,0.096
FBgn0000115,CG6025,ADP ribosylation factor-like 1,27.346,28.401,29.456,34.830,24.912
FBgn0000116,CG32031,Arginine kinase,12.073,39.452,130.471,22.120,26.341
FBgn0000117,CG11579,armadillo,3.489,6.283,5.306,7.766,7.994
FBgn0000119,CG5912,arrow,1.400,2.126,2.155,1.626,2.354
FBgn0000120,CG5711,Arrestin 1,0.000,0.004,0.000,0.000,0.007
